rank, configurations,google pixel format, model format, energy_efficiency estimated
54,330033-2-1,[3- 3- 0- 0- 3- 3- 2- 1],2-1-1-0-0-1-1-2-1,15361108013.97479
55,333303-2-2,[3- 3- 3- 3- 0- 3- 2- 2],2-1-1-1-1-0-1-2-2,15345434126.413675
56,202202-2-1,[2- 0- 2- 2- 0- 2- 2- 1],1-1-0-1-1-0-1-2-1,15341926684.33926
57,111111-2-1,[1- 1- 1- 1- 1- 1- 2- 1],0-1-1-1-1-1-1-2-1,15341053662.27787
58,333333-3-2,[3- 3- 3- 3- 3- 3- 3- 2],2-1-1-1-1-1-1-3-2,15336714690.308575
59,202022-2-1,[2- 0- 2- 0- 2- 2- 2- 1],1-1-0-1-0-1-1-2-1,15333834641.36868
60,330333-2-2,[3- 3- 0- 3- 3- 3- 2- 2],2-1-1-0-1-1-1-2-2,15320488434.053736
61,033333-2-2,[0- 3- 3- 3- 3- 3- 2- 2],2-0-1-1-1-1-1-2-2,15289861284.602732
62,333303-1-1,[3- 3- 3- 3- 0- 3- 1- 1],2-1-1-1-1-0-1-1-1,15278574917.819878
63,220222-1-2,[2- 2- 0- 2- 2- 2- 1- 2],1-1-1-0-1-1-1-1-2,15264772919.524
64,222202-2-0,[2- 2- 2- 2- 0- 2- 2- 0],1-1-1-1-1-0-1-2-0,15261482337.087215
65,022022-2-2,[0- 2- 2- 0- 2- 2- 2- 2],1-0-1-1-0-1-1-2-2,15261453507.69935
66,222022-1-2,[2- 2- 2- 0- 2- 2- 1- 2],1-1-1-1-0-1-1-1-2,15260800296.082563
67,020222-2-2,[0- 2- 0- 2- 2- 2- 2- 2],1-0-1-0-1-1-1-2-2,15249543279.88746
68,220202-2-1,[2- 2- 0- 2- 0- 2- 2- 1],1-1-1-0-1-0-1-2-1,15244403361.005917
69,022202-2-2,[0- 2- 2- 2- 0- 2- 2- 2],1-0-1-1-1-0-1-2-2,15233425646.42573
70,333303-3-3,[3- 3- 3- 3- 0- 3- 3- 3],2-1-1-1-1-0-1-3-3,15233323787.66018
71,220022-2-2,[2- 2- 0- 0- 2- 2- 2- 2],1-1-1-0-0-1-1-2-2,15229261252.491236
72,200222-2-2,[2- 0- 0- 2- 2- 2- 2- 2],1-1-0-0-1-1-1-2-2,15203427580.166075
73,002222-2-2,[0- 0- 2- 2- 2- 2- 2- 2],1-0-0-1-1-1-1-2-2,15202907449.539305
74,222202-3-3,[2- 2- 2- 2- 0- 2- 3- 3],1-1-1-1-1-0-1-3-3,15198508069.784504
75,303333-1-1,[3- 0- 3- 3- 3- 3- 1- 1],2-1-0-1-1-1-1-1-1,15183655191.376713
76,303333-2-3,[3- 0- 3- 3- 3- 3- 2- 3],2-1-0-1-1-1-1-2-3,15180342629.942783
77,333333-3-1,[3- 3- 3- 3- 3- 3- 3- 1],2-1-1-1-1-1-1-3-1,15179786538.46783
78,303033-2-1,[3- 0- 3- 0- 3- 3- 2- 1],2-1-0-1-0-1-1-2-1,15179364203.210503
79,333033-2-0,[3- 3- 3- 0- 3- 3- 2- 0],2-1-1-1-0-1-1-2-0,15176751163.877754
80,222222-1-0,[2- 2- 2- 2- 2- 2- 1- 0],1-1-1-1-1-1-1-1-0,15167921373.27781
81,333033-1-1,[3- 3- 3- 0- 3- 3- 1- 1],2-1-1-1-0-1-1-1-1,15161689000.128944
82,222202-1-2,[2- 2- 2- 2- 0- 2- 1- 2],1-1-1-1-1-0-1-1-2,15153400568.396238
83,303333-3-3,[3- 0- 3- 3- 3- 3- 3- 3],2-1-0-1-1-1-1-3-3,15128540048.47228
84,202202-2-2,[2- 0- 2- 2- 0- 2- 2- 2],1-1-0-1-1-0-1-2-2,15112640367.181364
85,222002-2-2,[2- 2- 2- 0- 0- 2- 2- 2],1-1-1-1-0-0-1-2-2,15096591285.92898
86,300333-2-1,[3- 0- 0- 3- 3- 3- 2- 1],2-1-0-0-1-1-1-2-1,15093535758.495567
87,303303-2-1,[3- 0- 3- 3- 0- 3- 2- 1],2-1-0-1-1-0-1-2-1,15092833419.40435
88,333003-2-1,[3- 3- 3- 0- 0- 3- 2- 1],2-1-1-1-0-0-1-2-1,15092499963.085157
89,020022-2-1,[0- 2- 0- 0- 2- 2- 2- 1],1-0-1-0-0-1-1-2-1,15084267622.855421
90,222022-3-1,[2- 2- 2- 0- 2- 2- 3- 1],1-1-1-1-0-1-1-3-1,15082170536.403957
91,303333-1-2,[3- 0- 3- 3- 3- 3- 1- 2],2-1-0-1-1-1-1-1-2,15067169301.840816
92,222202-3-2,[2- 2- 2- 2- 0- 2- 3- 2],1-1-1-1-1-0-1-3-2,15036115182.141613
93,300333-2-2,[3- 0- 0- 3- 3- 3- 2- 2],2-1-0-0-1-1-1-2-2,15030459005.426617
94,030333-2-1,[0- 3- 0- 3- 3- 3- 2- 1],2-0-1-0-1-1-1-2-1,15021635599.220625
95,202022-2-2,[2- 0- 2- 0- 2- 2- 2- 2],1-1-0-1-0-1-1-2-2,15021568444.259031
96,111111-2-2,[1- 1- 1- 1- 1- 1- 2- 2],0-1-1-1-1-1-1-2-2,15011534939.740673
97,220022-2-0,[2- 2- 0- 0- 2- 2- 2- 0],1-1-1-0-0-1-1-2-0,15004413584.587486
98,303303-2-2,[3- 0- 3- 3- 0- 3- 2- 2],2-1-0-1-1-0-1-2-2,15003307307.264217
99,303333-2-0,[3- 0- 3- 3- 3- 3- 2- 0],2-1-0-1-1-1-1-2-0,15001342153.496815
100,222022-3-2,[2- 2- 2- 0- 2- 2- 3- 2],1-1-1-1-0-1-1-3-2,14998531393.609463
101,022202-1-1,[0- 2- 2- 2- 0- 2- 1- 1],1-0-1-1-1-0-1-1-1,14992954751.028221
102,022222-3-1,[0- 2- 2- 2- 2- 2- 3- 1],1-0-1-1-1-1-1-3-1,14985054612.183666
103,330033-2-2,[3- 3- 0- 0- 3- 3- 2- 2],2-1-1-0-0-1-1-2-2,14981365323.913673
104,333333-3-0,[3- 3- 3- 3- 3- 3- 3- 0],2-1-1-1-1-1-1-3-0,14971415257.36395
105,033033-2-1,[0- 3- 3- 0- 3- 3- 2- 1],2-0-1-1-0-1-1-2-1,14966770761.590635
106,220022-1-1,[2- 2- 0- 0- 2- 2- 1- 1],1-1-1-0-0-1-1-1-1,14963840903.247444
107,222022-3-0,[2- 2- 2- 0- 2- 2- 3- 0],1-1-1-1-0-1-1-3-0,14958924686.88803
108,303033-2-2,[3- 0- 3- 0- 3- 3- 2- 2],2-1-0-1-0-1-1-2-2,14958548041.532162
109,303333-3-2,[3- 0- 3- 3- 3- 3- 3- 2],2-1-0-1-1-1-1-3-2,14954078864.150795
110,002222-1-2,[0- 0- 2- 2- 2- 2- 1- 2],1-0-0-1-1-1-1-1-2,14952478686.450726
111,200022-2-1,[2- 0- 0- 0- 2- 2- 2- 1],1-1-0-0-0-1-1-2-1,14952123010.916954
112,333303-3-2,[3- 3- 3- 3- 0- 3- 3- 2],2-1-1-1-1-0-1-3-2,14942139572.611637
113,022022-1-1,[0- 2- 2- 0- 2- 2- 1- 1],1-0-1-1-0-1-1-1-1,14941147336.346626
114,220202-2-2,[2- 2- 0- 2- 0- 2- 2- 2],1-1-1-0-1-0-1-2-2,14925508727.50709
115,003333-2-1,[0- 0- 3- 3- 3- 3- 2- 1],2-0-0-1-1-1-1-2-1,14923667344.801872
116,030333-2-2,[0- 3- 0- 3- 3- 3- 2- 2],2-0-1-0-1-1-1-2-2,14923626639.345573
117,222002-1-1,[2- 2- 2- 0- 0- 2- 1- 1],1-1-1-1-0-0-1-1-1,14922759645.462608
118,111011-2-1,[1- 1- 1- 0- 1- 1- 2- 1],0-1-1-1-0-1-1-2-1,14920558150.80235
119,330333-2-0,[3- 3- 0- 3- 3- 3- 2- 0],2-1-1-0-1-1-1-2-0,14920346968.257607
120,002222-1-1,[0- 0- 2- 2- 2- 2- 1- 1],1-0-0-1-1-1-1-1-1,14917946039.293827
121,222022-3-3,[2- 2- 2- 0- 2- 2- 3- 3],1-1-1-1-0-1-1-3-3,14915120934.950672
122,003333-2-2,[0- 0- 3- 3- 3- 3- 2- 2],2-0-0-1-1-1-1-2-2,14910630205.057247
123,222022-2-3,[2- 2- 2- 0- 2- 2- 2- 3],1-1-1-1-0-1-1-2-3,14903529296.606327
124,022222-3-0,[0- 2- 2- 2- 2- 2- 3- 0],1-0-1-1-1-1-1-3-0,14899357637.122465
125,333033-3-1,[3- 3- 3- 0- 3- 3- 3- 1],2-1-1-1-0-1-1-3-1,14897929029.81602
126,022222-0-2,[0- 2- 2- 2- 2- 2- 0- 2],1-0-1-1-1-1-1-0-2,14893821916.75761
127,333303-2-3,[3- 3- 3- 3- 0- 3- 2- 3],2-1-1-1-1-0-1-2-3,14886980264.571388
128,333033-2-3,[3- 3- 3- 0- 3- 3- 2- 3],2-1-1-1-0-1-1-2-3,14886281050.58068
129,202222-2-3,[2- 0- 2- 2- 2- 2- 2- 3],1-1-0-1-1-1-1-2-3,14882027454.002483
130,330333-1-1,[3- 3- 0- 3- 3- 3- 1- 1],2-1-1-0-1-1-1-1-1,14872983953.2443
131,330303-2-1,[3- 3- 0- 3- 0- 3- 2- 1],2-1-1-0-1-0-1-2-1,14870035550.342878
132,220222-3-1,[2- 2- 0- 2- 2- 2- 3- 1],1-1-1-0-1-1-1-3-1,14869961873.71342
133,020022-2-2,[0- 2- 0- 0- 2- 2- 2- 2],1-0-1-0-0-1-1-2-2,14866310716.751595
134,333033-3-2,[3- 3- 3- 0- 3- 3- 3- 2],2-1-1-1-0-1-1-3-2,14863240420.141712
135,333033-3-3,[3- 3- 3- 0- 3- 3- 3- 3],2-1-1-1-0-1-1-3-3,14862679010.99105
136,033333-3-1,[0- 3- 3- 3- 3- 3- 3- 1],2-0-1-1-1-1-1-3-1,14859604072.73614
137,222202-3-1,[2- 2- 2- 2- 0- 2- 3- 1],1-1-1-1-1-0-1-3-1,14857948248.278835
138,300033-2-1,[3- 0- 0- 0- 3- 3- 2- 1],2-1-0-0-0-1-1-2-1,14855445584.895092
139,330333-2-3,[3- 3- 0- 3- 3- 3- 2- 3],2-1-1-0-1-1-1-2-3,14854323485.780006
140,011111-2-1,[0- 1- 1- 1- 1- 1- 2- 1],0-0-1-1-1-1-1-2-1,14853112161.10194
141,222202-2-3,[2- 2- 2- 2- 0- 2- 2- 3],1-1-1-1-1-0-1-2-3,14848949090.447788
142,111111-1-1,[1- 1- 1- 1- 1- 1- 1- 1],0-1-1-1-1-1-1-1-1,14840203099.728924
143,220202-1-1,[2- 2- 0- 2- 0- 2- 1- 1],1-1-1-0-1-0-1-1-1,14839457058.97396
144,033303-2-1,[0- 3- 3- 3- 0- 3- 2- 1],2-0-1-1-1-0-1-2-1,14836348463.866636
145,033333-3-2,[0- 3- 3- 3- 3- 3- 3- 2],2-0-1-1-1-1-1-3-2,14835473342.266315
146,330333-3-3,[3- 3- 0- 3- 3- 3- 3- 3],2-1-1-0-1-1-1-3-3,14830743118.868172
147,333003-2-2,[3- 3- 3- 0- 0- 3- 2- 2],2-1-1-1-0-0-1-2-2,14827035301.208931
148,330033-2-0,[3- 3- 0- 0- 3- 3- 2- 0],2-1-1-0-0-1-1-2-0,14826815091.00137
149,333303-2-0,[3- 3- 3- 3- 0- 3- 2- 0],2-1-1-1-1-0-1-2-0,14826329338.41285
150,220222-2-3,[2- 2- 0- 2- 2- 2- 2- 3],1-1-1-0-1-1-1-2-3,14826033388.089024
151,222220-2-1,[2- 2- 2- 2- 2- 0- 2- 1],1-1-1-1-1-1-0-2-1,14825943403.23153
152,220222-3-0,[2- 2- 0- 2- 2- 2- 3- 0],1-1-1-0-1-1-1-3-0,14819552706.613142
153,033333-3-3,[0- 3- 3- 3- 3- 3- 3- 3],2-0-1-1-1-1-1-3-3,14812586700.978073
154,202222-3-1,[2- 0- 2- 2- 2- 2- 3- 1],1-1-0-1-1-1-1-3-1,14802053223.459667
155,333033-1-2,[3- 3- 3- 0- 3- 3- 1- 2],2-1-1-1-0-1-1-1-2,14799948854.803509
156,220002-2-1,[2- 2- 0- 0- 0- 2- 2- 1],1-1-1-0-0-0-1-2-1,14799638052.80139
157,020222-1-2,[0- 2- 0- 2- 2- 2- 1- 2],1-0-1-0-1-1-1-1-2,14793043571.805218
158,020202-2-1,[0- 2- 0- 2- 0- 2- 2- 1],1-0-1-0-1-0-1-2-1,14790261325.720121
159,303333-3-1,[3- 0- 3- 3- 3- 3- 3- 1],2-1-0-1-1-1-1-3-1,14785755374.413832
160,033333-2-0,[0- 3- 3- 3- 3- 3- 2- 0],2-0-1-1-1-1-1-2-0,14783899504.89309
161,202222-3-2,[2- 0- 2- 2- 2- 2- 3- 2],1-1-0-1-1-1-1-3-2,14776565456.20579
162,033333-1-1,[0- 3- 3- 3- 3- 3- 1- 1],2-0-1-1-1-1-1-1-1,14775541705.203651
163,333033-3-0,[3- 3- 3- 0- 3- 3- 3- 0],2-1-1-1-0-1-1-3-0,14768543624.3793
164,330333-3-2,[3- 3- 0- 3- 3- 3- 3- 2],2-1-1-0-1-1-1-3-2,14768457943.248707
165,111011-2-2,[1- 1- 1- 0- 1- 1- 2- 2],0-1-1-1-0-1-1-2-2,14764591979.779978
166,033333-2-3,[0- 3- 3- 3- 3- 3- 2- 3],2-0-1-1-1-1-1-2-3,14764456667.313286
167,101111-2-1,[1- 0- 1- 1- 1- 1- 2- 1],0-1-0-1-1-1-1-2-1,14764397237.09515
168,000222-2-2,[0- 0- 0- 2- 2- 2- 2- 2],1-0-0-0-1-1-1-2-2,14763110766.197536
169,022022-1-2,[0- 2- 2- 0- 2- 2- 1- 2],1-0-1-1-0-1-1-1-2,14762903228.613735
170,022002-2-1,[0- 2- 2- 0- 0- 2- 2- 1],1-0-1-1-0-0-1-2-1,14758869178.561964
171,333303-1-2,[3- 3- 3- 3- 0- 3- 1- 2],2-1-1-1-1-0-1-1-2,14758857207.187878
172,002202-2-1,[0- 0- 2- 2- 0- 2- 2- 1],1-0-0-1-1-0-1-2-1,14752997343.277138
173,333333-0-1,[3- 3- 3- 3- 3- 3- 0- 1],2-1-1-1-1-1-1-0-1,14752500334.516792
174,220222-3-2,[2- 2- 0- 2- 2- 2- 3- 2],1-1-1-0-1-1-1-3-2,14747250025.498623
175,033033-2-2,[0- 3- 3- 0- 3- 3- 2- 2],2-0-1-1-0-1-1-2-2,14746785344.582802
176,000222-2-1,[0- 0- 0- 2- 2- 2- 2- 1],1-0-0-0-1-1-1-2-1,14745292901.860497
177,330333-3-1,[3- 3- 0- 3- 3- 3- 3- 1],2-1-1-0-1-1-1-3-1,14745065469.698572
178,202222-3-3,[2- 0- 2- 2- 2- 2- 3- 3],1-1-0-1-1-1-1-3-3,14740793476.741127
179,002022-2-1,[0- 0- 2- 0- 2- 2- 2- 1],1-0-0-1-0-1-1-2-1,14738491429.56237
180,022222-3-2,[0- 2- 2- 2- 2- 2- 3- 2],1-0-1-1-1-1-1-3-2,14738185478.865093
181,200022-2-2,[2- 0- 0- 0- 2- 2- 2- 2],1-1-0-0-0-1-1-2-2,14736464412.904842
182,020222-1-1,[0- 2- 0- 2- 2- 2- 1- 1],1-0-1-0-1-1-1-1-1,14728187286.382027
183,033303-2-2,[0- 3- 3- 3- 0- 3- 2- 2],2-0-1-1-1-0-1-2-2,14726639975.79174
184,022022-2-0,[0- 2- 2- 0- 2- 2- 2- 0],1-0-1-1-0-1-1-2-0,14708680328.8807
185,330333-1-2,[3- 3- 0- 3- 3- 3- 1- 2],2-1-1-0-1-1-1-1-2,14703623152.549465
186,022222-2-3,[0- 2- 2- 2- 2- 2- 2- 3],1-0-1-1-1-1-1-2-3,14703393667.31261
187,303303-3-3,[3- 0- 3- 3- 0- 3- 3- 3],2-1-0-1-1-0-1-3-3,14697642985.33958
188,333003-1-1,[3- 3- 3- 0- 0- 3- 1- 1],2-1-1-1-0-0-1-1-1,14696456344.685863
189,222220-2-2,[2- 2- 2- 2- 2- 0- 2- 2],1-1-1-1-1-1-0-2-2,14691002600.285442
190,220222-3-3,[2- 2- 0- 2- 2- 2- 3- 3],1-1-1-0-1-1-1-3-3,14680395315.037891
191,022202-1-2,[0- 2- 2- 2- 0- 2- 1- 2],1-0-1-1-1-0-1-1-2,14679288928.136623
192,002202-2-2,[0- 0- 2- 2- 0- 2- 2- 2],1-0-0-1-1-0-1-2-2,14678997181.06129
193,333333-0-2,[3- 3- 3- 3- 3- 3- 0- 2],2-1-1-1-1-1-1-0-2,14669626916.417217
194,030033-2-1,[0- 3- 0- 0- 3- 3- 2- 1],2-0-1-0-0-1-1-2-1,14668901254.787197
195,111111-1-2,[1- 1- 1- 1- 1- 1- 1- 2],0-1-1-1-1-1-1-1-2,14668442805.664381
196,202220-2-2,[2- 0- 2- 2- 2- 0- 2- 2],1-1-0-1-1-1-0-2-2,14664339473.283094
197,220022-1-2,[2- 2- 0- 0- 2- 2- 1- 2],1-1-1-0-0-1-1-1-2,14661568115.244137
198,033333-1-2,[0- 3- 3- 3- 3- 3- 1- 2],2-0-1-1-1-1-1-1-2,14657765832.572704
199,111101-2-1,[1- 1- 1- 1- 0- 1- 2- 1],0-1-1-1-1-0-1-2-1,14654603135.563
200,200222-1-2,[2- 0- 0- 2- 2- 2- 1- 2],1-1-0-0-1-1-1-1-2,14653883656.955639
201,020202-2-2,[0- 2- 0- 2- 0- 2- 2- 2],1-0-1-0-1-0-1-2-2,14650651062.738548
202,222202-0-1,[2- 2- 2- 2- 0- 2- 0- 1],1-1-1-1-1-0-1-0-1,14649088882.339348
203,222002-3-3,[2- 2- 2- 0- 0- 2- 3- 3],1-1-1-1-0-0-1-3-3,14648102837.105385
204,333303-3-1,[3- 3- 3- 3- 0- 3- 3- 1],2-1-1-1-1-0-1-3-1,14645785104.674189
205,033333-3-0,[0- 3- 3- 3- 3- 3- 3- 0],2-0-1-1-1-1-1-3-0,14639404301.77087
206,022002-2-2,[0- 2- 2- 0- 0- 2- 2- 2],1-0-1-1-0-0-1-2-2,14638288408.134682
207,002022-2-2,[0- 0- 2- 0- 2- 2- 2- 2],1-0-0-1-0-1-1-2-2,14633858009.507717
208,020222-2-0,[0- 2- 0- 2- 2- 2- 2- 0],1-0-1-0-1-1-1-2-0,14632365808.019188
209,300033-2-2,[3- 0- 0- 0- 3- 3- 2- 2],2-1-0-0-0-1-1-2-2,14625998100.80195
210,330303-2-2,[3- 3- 0- 3- 0- 3- 2- 2],2-1-1-0-1-0-1-2-2,14624222277.596703
211,330003-2-1,[3- 3- 0- 0- 0- 3- 2- 1],2-1-1-0-0-0-1-2-1,14621493666.186596
212,202222-3-0,[2- 0- 2- 2- 2- 2- 3- 0],1-1-0-1-1-1-1-3-0,14604935002.592186
213,022202-3-2,[0- 2- 2- 2- 0- 2- 3- 2],1-0-1-1-1-0-1-3-2,14603236733.931889
214,022022-3-1,[0- 2- 2- 0- 2- 2- 3- 1],1-0-1-1-0-1-1-3-1,14601032729.915415
215,202202-1-1,[2- 0- 2- 2- 0- 2- 1- 1],1-1-0-1-1-0-1-1-1,14592737341.062626
216,330033-1-1,[3- 3- 0- 0- 3- 3- 1- 1],2-1-1-0-0-1-1-1-1,14590715781.863476
217,101110-2-2,[1- 0- 1- 1- 1- 0- 2- 2],0-1-0-1-1-1-0-2-2,14587619029.272701
218,222222-1-3,[2- 2- 2- 2- 2- 2- 1- 3],1-1-1-1-1-1-1-1-3,14584903764.296474
219,030333-3-1,[0- 3- 0- 3- 3- 3- 3- 1],2-0-1-0-1-1-1-3-1,14579765414.170128
220,222002-3-2,[2- 2- 2- 0- 0- 2- 3- 2],1-1-1-1-0-0-1-3-2,14578351964.82394
221,200222-1-1,[2- 0- 0- 2- 2- 2- 1- 1],1-1-0-0-1-1-1-1-1,14576758815.037052
222,101111-2-2,[1- 0- 1- 1- 1- 1- 2- 2],0-1-0-1-1-1-1-2-2,14572509265.615995
223,200202-2-1,[2- 0- 0- 2- 0- 2- 2- 1],1-1-0-0-1-0-1-2-1,14569113307.69004
224,330333-3-0,[3- 3- 0- 3- 3- 3- 3- 0],2-1-1-0-1-1-1-3-0,14568814644.913174
225,202002-2-1,[2- 0- 2- 0- 0- 2- 2- 1],1-1-0-1-0-0-1-2-1,14564725394.50512
226,111111-2-0,[1- 1- 1- 1- 1- 1- 2- 0],0-1-1-1-1-1-1-2-0,14563332999.043789
227,111110-2-1,[1- 1- 1- 1- 1- 0- 2- 1],0-1-1-1-1-1-0-2-1,14563260424.534756
228,330033-3-1,[3- 3- 0- 0- 3- 3- 3- 1],2-1-1-0-0-1-1-3-1,14562470133.720497
229,022202-3-1,[0- 2- 2- 2- 0- 2- 3- 1],1-0-1-1-1-0-1-3-1,14554218012.156458
230,111101-2-2,[1- 1- 1- 1- 0- 1- 2- 2],0-1-1-1-1-0-1-2-2,14548641102.844324
231,220022-3-1,[2- 2- 0- 0- 2- 2- 3- 1],1-1-1-0-0-1-1-3-1,14541693458.331125
232,333333-1-0,[3- 3- 3- 3- 3- 3- 1- 0],2-1-1-1-1-1-1-1-0,14541216172.019169
233,001110-2-2,[0- 0- 1- 1- 1- 0- 2- 2],0-0-0-1-1-1-0-2-2,14539167511.670282
234,033303-3-3,[0- 3- 3- 3- 0- 3- 3- 3],2-0-1-1-1-0-1-3-3,14533893806.353132
235,222002-2-0,[2- 2- 2- 0- 0- 2- 2- 0],1-1-1-1-0-0-1-2-0,14531662842.456902
