Little core frequency level, Core 0 state, 1, 2, 3, 4, 5, Core 6 level, core 7 level, 
1, 0, 0, 1, 1, 1, 0, 1, 0,
1, 0, 1, 0, 0, 0, 0, 3, 2,
0, 0, 0, 0, 0, 1, 0, 3, 1,
2, 1, 1, 1, 1, 1, 1, 0, 0,
2, 1, 1, 1, 0, 0, 0, 0, 0,
0, 1, 1, 1, 0, 1, 1, 3, 3,
0, 0, 0, 1, 1, 1, 1, 3, 3,
1, 0, 0, 0, 0, 1, 1, 3, 2,
1, 1, 1, 0, 0, 0, 0, 0, 0,
1, 0, 1, 1, 0, 1, 1, 3, 3,
2, 1, 1, 1, 1, 1, 0, 2, 3,
0, 1, 1, 1, 0, 1, 0, 3, 3,
2, 0, 0, 1, 0, 0, 1, 3, 3,
0, 1, 1, 1, 0, 1, 1, 2, 3,
2, 1, 1, 1, 0, 0, 1, 2, 3,
1, 1, 1, 1, 1, 1, 1, 3, 2,
1, 1, 0, 0, 1, 1, 1, 2, 3,
0, 1, 0, 1, 1, 0, 1, 3, 2,
0, 0, 1, 1, 0, 0, 0, 2, 0,
2, 0, 1, 1, 0, 1, 1, 3, 2,
0, 0, 1, 0, 0, 0, 0, 3, 2,
0, 0, 0, 0, 1, 1, 1, 0, 0,
1, 1, 1, 1, 1, 1, 0, 0, 0,
2, 0, 1, 1, 1, 1, 0, 0, 0,
1, 1, 0, 1, 1, 1, 1, 3, 3,
0, 1, 1, 1, 0, 0, 0, 1, 0,
0, 1, 0, 0, 1, 0, 1, 1, 0,
2, 0, 0, 0, 1, 0, 0, 0, 0,
1, 1, 0, 1, 0, 0, 0, 0, 0,
1, 0, 0, 0, 0, 1, 0, 0, 0,
1, 1, 1, 0, 0, 0, 0, 3, 3,
2, 1, 1, 1, 0, 1, 0, 2, 3,
2, 1, 1, 1, 1, 0, 0, 0, 0,
1, 1, 0, 1, 1, 0, 0, 3, 2,
2, 1, 1, 0, 0, 1, 1, 1, 3,
0, 1, 1, 1, 1, 1, 1, 1, 0,
2, 1, 1, 0, 1, 0, 1, 0, 0,
2, 0, 1, 1, 0, 1, 0, 3, 3,
2, 1, 1, 0, 0, 0, 0, 3, 3,
2, 1, 1, 0, 1, 1, 0, 2, 3,
0, 1, 0, 1, 1, 1, 1, 1, 0,
2, 1, 1, 1, 0, 1, 1, 2, 3,
2, 1, 1, 1, 1, 1, 1, 3, 2,
1, 1, 1, 1, 0, 1, 1, 0, 0,
2, 1, 0, 0, 0, 0, 1, 3, 3,
2, 0, 1, 0, 0, 0, 0, 3, 3,
0, 1, 0, 0, 0, 0, 0, 0, 0,
0, 1, 1, 1, 0, 0, 0, 0, 0,
2, 0, 0, 1, 1, 1, 1, 3, 3,
1, 0, 1, 1, 1, 0, 1, 0, 0,
0, 1, 0, 1, 0, 1, 1, 1, 0,
2, 0, 1, 1, 1, 1, 0, 2, 3,
2, 1, 1, 1, 1, 1, 0, 3, 1,
1, 1, 0, 0, 0, 1, 0, 1, 0,
2, 0, 0, 1, 1, 1, 1, 2, 3,
0, 1, 1, 1, 1, 1, 0, 1, 0,
2, 0, 1, 0, 1, 0, 1, 0, 0,
1, 1, 1, 0, 0, 1, 1, 3, 3,
0, 0, 1, 1, 1, 1, 1, 1, 0,
2, 1, 1, 0, 1, 1, 1, 0, 0,
1, 1, 0, 1, 1, 0, 1, 2, 3,
0, 1, 0, 0, 0, 1, 1, 3, 2,
1, 1, 1, 0, 1, 1, 0, 3, 2,
1, 1, 1, 1, 0, 1, 1, 2, 3,
0, 0, 1, 0, 0, 0, 0, 1, 0,
2, 1, 1, 1, 1, 0, 1, 0, 0,
2, 0, 1, 0, 0, 1, 0, 1, 0,
2, 0, 1, 1, 0, 0, 0, 2, 0,
0, 1, 1, 0, 1, 0, 1, 1, 0,
2, 1, 1, 0, 0, 0, 0, 0, 0,
1, 1, 1, 1, 1, 1, 0, 2, 3,
2, 1, 1, 0, 0, 1, 1, 3, 3,
2, 1, 0, 0, 0, 0, 0, 1, 0,
2, 0, 1, 1, 1, 1, 1, 1, 3,
1, 0, 1, 0, 0, 1, 1, 1, 0,
0, 1, 0, 0, 0, 1, 0, 0, 1,
2, 1, 0, 0, 1, 1, 1, 3, 2,
1, 0, 1, 1, 1, 1, 1, 2, 3,
0, 1, 0, 1, 1, 1, 1, 3, 3,
0, 0, 1, 0, 1, 1, 1, 0, 0.]]

39 where little cores are with level 1
36 where little cores are with level 2
56 where little cores are with level 3

46 cases where the big core is on level 3
21 cases where the big core is on level 2
5 cases where the big core is on level 1
59 cases where big cores are on level 0
